id,imdb_id,title,tagline,overview,poster_path,backdrop_path,release_date,vote_average,vote_count,genres,budget,revenue,runtime
637920,tt10431500,Miracle in Cell No. 7,,"Separated from his daughter, a father with an intellectual disability must prove his innocence when he is jailed for the death of a commander's child.",/bOth4QmNyEkalwahfPCfiXjNh1r.jpg,/inEy3A5OPgeYW4rjRiGycfEeQzA.jpg,2019-10-10,8.256,4497,['Drama'],0,28000000,132
8587,tt0110357,The Lion King,The greatest adventure of all is finding our place in the Circle of Life.,"Young lion prince Simba, eager to one day become king of the Pride Lands, grows up under the watchful eye of his father Mufasa; all the while his villainous uncle Scar conspires to take the throne for himself. Amid betrayal and tragedy, Simba must confront his past and find his rightful place in the Circle of Life.",/sKCr78MXSLixwmZ8DyJLrpMsd15.jpg,/q00H8EqULYSK74lgevMkhmGGLHn.jpg,1994-06-15,8.255,19165,"['Family', 'Animation', 'Drama', 'Adventure']",45000000,763455561,89
29259,tt0054407,Le Trou,Poor Gaspard...,"Four prison inmates have been hatching a plan to literally dig out of jail when another prisoner, Claude Gaspard, is moved into their cell. They take a risk and share their plan with the newcomer. Over the course of three days, the prisoners and friends break through the concrete floor using a bed post and begin to make their way through the sewer system -- yet their escape is anything but assured.",/xyZhiOz5NHVBUKlpioxjwajy7pm.jpg,/f72GEQF2lKsdmEULSI9bWCbQylH.jpg,1960-03-18,8.3,530,"['Drama', 'Thriller', 'Crime']",0,33187,132
10376,tt0120731,The Legend of 1900,An epic story of a man who could do anything... except be ordinary,"The story of a virtuoso piano player who lives his entire life aboard an ocean liner. Born and raised on the ship, 1900 learned about the outside world through interactions with passengers, never setting foot on land, even for the love of his life. Years later, the ship may be destroyed, and a former band member fears that 1900 may still be aboard, willing to go down with the ship.",/iOcbJ5pxokOPDRgieVDbsFMrCc6.jpg,/muSeX7fnNw0pv4zHK7RSwZln6Hk.jpg,1998-10-28,8.247,2365,"['Drama', 'Music']",9000000,21057208,170
670,tt0364569,Oldboy,"15 years of imprisonment, five days of vengeance.","With no clue how he came to be imprisoned, drugged and tortured for 15 years, a desperate man seeks revenge on his captors.",/pWDtjs568ZfOTMbURQBYuT4Qxka.jpg,/sdwjQEM869JFwMytTmvr6ggvaUl.jpg,2003-11-21,8.246,9369,"['Drama', 'Thriller', 'Mystery', 'Action']",3000000,17500000,120
572154,tt9881586,Rascal Does Not Dream of a Dreaming Girl,,"In Fujisawa, Sakuta Azusagawa is in his second year of high school. Blissful days with his girlfriend and upperclassman, Mai Sakurajima, are interrupted by the appearance of his first crush, Shoko Makinohara.",/gsRpizQa3fw1um8v7EvFVXvxD6u.jpg,/5MgMCnslrxQfOfaq6T5ndkLlcCk.jpg,2019-06-15,8.2,567,"['Animation', 'Romance', 'Drama', 'Fantasy']",0,0,90
630566,tt6473066,Clouds,Don't wait for tomorrow to live for today.,"Young musician Zach Sobiech discovers his cancer has spread, leaving him just a few months to live. With limited time, he follows his dream and makes an album, unaware that it will soon be a viral music phenomenon.",/d0OdD1I8qAfETvE9Rp9Voq7R8LR.jpg,/L7DIiAdP8DnNqOh7454ZrTYspR.jpg,2020-10-09,8.24,1037,"['Music', 'Drama', 'Romance']",0,0,121
504253,tt7236034,I Want to Eat Your Pancreas,This is a story about an unforgettable spring...,"After his classmate and crush is diagnosed with a pancreatic disease, an average high schooler sets out to make the most of her final days.",/qDWA7fB4cZ4sBP6YgwlxvraDHi7.jpg,/YLyORLsYIjC0d1TFBSpJKk7piP.jpg,2018-09-01,8.24,1684,"['Animation', 'Drama', 'Romance']",0,33748006,108
447362,tt6598238,Life in a Year,,"A 17 year old finds out that his girlfriend is dying, so he sets out to give her an entire life, in the last year she has left.",/bP7u19opmHXYeTCUwGjlLldmUMc.jpg,/u6aGN71Hx39iX8Uv4ILRRKHmAXc.jpg,2020-11-27,8.2,1942,"['Drama', 'Romance']",0,0,107
299534,tt4154796,Avengers: Endgame,Avenge the fallen.,"After the devastating events of Avengers: Infinity War, the universe is in ruins due to the efforts of the Mad Titan, Thanos. With the help of remaining allies, the Avengers must assemble once more in order to undo Thanos' actions and restore order to the universe once and for all, no matter what consequences may be in store.",/bR8ISy1O9XQxqiy0fQFw2BX72RQ.jpg,/9wXPKruA6bWYk2co5ix6fH59Qr8.jpg,2019-04-24,8.238,26952,"['Adventure', 'Science Fiction', 'Action']",356000000,2799439100,181
299536,tt4154756,Avengers: Infinity War,Destiny arrives all the same.,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.",/7WsyChQLEftFiDOVTGkv3hFpyyt.jpg,/mDfJG3LC3Dqb67AZ52x3Z0jU0uB.jpg,2018-04-25,8.235,31165,"['Adventure', 'Action', 'Science Fiction']",300000000,2052415039,149
